***SENSOR SELECTION,,,,
CH 1-Voltage(±1V),,,,
CH 2-Voltage(±1V),,,,
CH 3-Voltage(±1V),,,,
INTERNAL,,,,
*** Sampling Rate ,,,,
1 Data Per 10 Secs,,,,
*** Duration to Monitor  ,,,,
5 Hours (Stopped before 4h),,,,
Time(s),V1,V2,V3,°C
3270,-0.002662,0.618211,0.632588,20.9082
3280,-0.003195,0.804047,0.63312,20.9082
3290,-0.00213,0.815761,0.634185,20.9082
3300,-0.00213,0.817891,0.63525,20.9082
3310,-0.003195,0.818956,0.635783,20.9082
3320,-0.001065,0.821086,0.636848,20.9082
3330,-0.00213,0.821619,0.63738,20.9082
3340,-0.002662,0.821619,0.638445,20.9082
3350,-0.003195,0.821086,0.640042,20.9082
3360,-0.002662,0.814164,0.640575,20.9082
3370,-0.003195,0.821619,0.642172,20.8276
3380,-0.001597,0.822151,0.64377,20.9082
3390,-0.001597,0.822151,0.645367,20.9082
3400,-0.003727,0.693291,0.646965,20.9082
3410,-0.00213,0.788072,0.649095,20.9082
3420,-0.00213,0.786475,0.649627,20.8276
3430,-0.001597,0.822151,0.652289,20.9082
3440,-0.00213,0.822151,0.657614,20.9082
3450,-0.002662,0.822151,0.659744,20.9082
3460,-0.002662,0.822151,0.660277,20.9082
3470,-0.00213,0.822151,0.661342,20.9082
3480,-0.00213,0.822151,0.662407,20.9082
3490,-0.002662,0.822151,0.664537,20.9082
3500,-0.00213,0.822151,0.666134,20.9082
3510,-0.00213,0.751864,0.666666,20.9082
3520,-0.00213,0.820021,0.668796,20.9082
3530,-0.003727,0.820021,0.670394,20.9082
3540,-0.002662,0.821619,0.671459,20.9082
3550,-0.002662,0.820021,0.673056,20.8276
3560,-0.001597,0.821619,0.674654,20.9082
3570,-0.002662,0.821619,0.676251,20.9082
3580,-0.00213,0.821619,0.676784,20.9082
3590,-0.001597,0.822151,0.680511,20.9082
3600,-0.002662,0.822151,0.683173,20.9082
