***SENSOR SELECTION
CH 1-Voltage(�1V)
CH 2-Voltage(�1V)
INTERNAL
*** Sampling Rate 
1 Sample/s
*** Duration to Monitor  
5 Hours
Time(s),V1,V2,�C
234.000000,0.337061,0.711395,27.0312
235.000000,0.337593,0.712460,27.1118
236.000000,0.337593,0.712460,27.1118
237.000000,0.337593,0.713525,27.1118
238.000000,0.338126,0.713525,27.1118
239.000000,0.338126,0.714590,27.1118
240.000000,0.338126,0.714590,27.1118
241.000000,0.338658,0.715655,27.1118
242.000000,0.338658,0.715655,27.1118
243.000000,0.339190,0.716187,27.1118
244.000000,0.339190,0.716720,27.1118
245.000000,0.339190,0.717252,27.1118
246.000000,0.340255,0.717252,27.1118
247.000000,0.340255,0.718317,27.1118
248.000000,0.340788,0.718317,27.1118
249.000000,0.341320,0.719382,27.1118
250.000000,0.341320,0.719382,27.1118
251.000000,0.342385,0.720447,27.1118
252.000000,0.342385,0.720447,27.1118
253.000000,0.342385,0.720447,27.1924
254.000000,0.342385,0.720980,27.1924
255.000000,0.342918,0.721512,27.1924
256.000000,0.342918,0.722045,27.1924
257.000000,0.343983,0.722045,27.1924
258.000000,0.343983,0.723110,27.1924
259.000000,0.343983,0.723110,27.1924
260.000000,0.344515,0.723642,27.1924
261.000000,0.344515,0.723642,27.1924
262.000000,0.345048,0.724174,27.1924
263.000000,0.345580,0.478701,27.1924
264.000000,0.345580,0.509052,27.1924
265.000000,0.346113,0.502130,27.1924
266.000000,0.346645,0.535144,27.1924
267.000000,0.346645,0.513844,27.1924
268.000000,0.347178,0.526091,27.1924
269.000000,0.347178,0.527156,27.1924
270.000000,0.348243,0.506390,27.1924
271.000000,0.348243,0.512779,27.1924
272.000000,0.348775,0.512779,27.1924
273.000000,0.348775,0.517572,27.1924
274.000000,0.349308,0.517039,27.1924
275.000000,0.349308,0.511714,27.1924
276.000000,0.349840,0.521299,27.1924
277.000000,0.350373,0.555378,27.1924
278.000000,0.350905,0.547391,27.1924
279.000000,0.350905,0.541001,27.1924
280.000000,0.351438,0.538338,27.2729
281.000000,0.351438,0.532481,27.2729
282.000000,0.352503,0.521299,27.2729
283.000000,0.352503,0.521299,27.2729
284.000000,0.352503,0.529819,27.2729
285.000000,0.353567,0.545261,27.2729
286.000000,0.353567,0.545261,27.2729
287.000000,0.353567,0.545261,27.2729
288.000000,0.354632,0.539404,27.2729
289.000000,0.354632,0.541001,27.2729
290.000000,0.355165,0.535676,27.2729
291.000000,0.355165,0.531416,27.2729
292.000000,0.356230,0.531416,27.2729
293.000000,0.356230,0.534079,27.2729
294.000000,0.356230,0.542598,27.2729
295.000000,0.357295,0.537273,27.2729
296.000000,0.357295,0.538338,27.2729
297.000000,0.357295,0.541533,27.2729
298.000000,0.358360,0.526624,27.2729
299.000000,0.358360,0.528221,27.2729
300.000000,0.358360,0.524494,27.2729
301.000000,0.359425,0.522364,27.2729
302.000000,0.359425,0.515974,27.2729
303.000000,0.359425,0.525027,27.2729
304.000000,0.360490,0.520767,27.2729
305.000000,0.360490,0.516507,27.2729
306.000000,0.361022,0.488285,27.2729
307.000000,0.361555,0.470713,27.2729
308.000000,0.361555,0.465388,27.2729
309.000000,0.361555,0.490948,27.2729
310.000000,0.362620,0.495207,27.2729
311.000000,0.362620,0.537273,27.2729
312.000000,0.363152,0.555378,27.3535
313.000000,0.363685,0.540468,27.3535
314.000000,0.363685,0.518104,27.3535
315.000000,0.364217,0.555378,27.3535
316.000000,0.364750,0.552715,27.3535
317.000000,0.364750,0.527156,27.3535
318.000000,0.365814,0.521299,27.3535
319.000000,0.365814,0.521299,27.3535
320.000000,0.365814,0.526091,27.3535
321.000000,0.366347,0.525559,27.3535
