***SENSOR SELECTION
CH 1-Voltage(±1V)
CH 2-Voltage(±1V)
CH 3-Voltage(±1V)
INTERNAL
*** Sampling Rate 
1 Data Per 1 Min
*** Duration to Monitor  
1 Day
Start: 19-DEC-2022  11:54AM
Time(s),V,V,V,°C
13260,-0.020767,0.857295,0.820554,21.2304
13320,-0.020767,0.857295,0.820021,21.2304
13380,-0.020767,0.857827,0.819489,21.3110
13440,-0.020234,0.855697,0.819489,21.3110
13500,-0.020767,0.855165,0.819489,21.2304
13560,-0.021299,0.855165,0.820021,21.3110
13620,-0.021299,0.854632,0.819489,21.2304
13680,-0.021299,0.854100,0.818956,21.2304
13740,-0.021832,0.853567,0.819489,21.2304
13800,-0.021832,0.853035,0.817891,21.2304
13860,-0.022364,0.851970,0.817891,21.2304
13920,-0.022364,0.850905,0.817359,21.2304
13980,-0.022364,0.851438,0.818424,21.2304
14040,-0.028221,0.849840,0.816294,21.2304
14100,-0.022364,0.849308,0.816826,21.2304
14160,-0.022897,0.848775,0.817891,21.2304
14220,-0.023429,0.848243,0.816294,21.2304
14280,-0.023429,0.847710,0.816294,21.2304
14340,-0.023961,0.847178,0.816294,21.2304
14400,-0.023429,0.846113,0.815761,21.2304
14460,-0.023961,0.846113,0.815229,21.2304
14520,-0.024494,0.845580,0.815761,21.2304
14580,-0.024494,0.847178,0.815761,21.2304
14640,-0.025026,0.845580,0.816294,21.2304
14700,-0.024494,0.845048,0.816826,21.2304
14760,-0.025026,0.843450,0.816826,21.3110
14820,-0.025026,0.843450,0.810436,21.2304
14880,-0.025559,0.842918,0.815761,21.2304
14940,-0.026091,0.842918,0.817359,21.2304
15000,-0.026091,0.842385,0.818424,21.2304
15060,-0.026624,0.849840,0.817891,21.2304
15120,-0.026624,0.841320,0.816826,21.1499
15180,-0.026624,0.841320,0.817359,21.2304
15240,-0.026624,0.840788,0.816826,21.2304
15300,-0.027156,0.839723,0.817359,21.1499
15360,-0.024494,0.840255,0.816826,21.1499
15420,-0.025559,0.839723,0.816826,21.1499
15480,-0.027689,0.839190,0.817891,21.1499
15540,-0.028221,0.839190,0.817891,21.2304
15600,-0.028221,0.838658,0.817359,21.2304
15660,-0.028754,0.838126,0.817359,21.2304
15720,-0.028754,0.838126,0.817359,21.2304
15780,-0.029286,0.837593,0.817359,21.1499
15840,-0.028221,0.837593,0.817359,21.2304
15900,-0.028221,0.837061,0.817359,21.1499
15960,-0.028221,0.837061,0.816294,21.1499
16020,-0.028754,0.837061,0.816294,21.2304
16080,-0.029286,0.837061,0.816826,21.1499
16140,-0.029819,0.836528,0.795527,21.1499
16200,-0.031416,0.836528,0.787540,21.1499
16260,-0.031416,0.835996,0.777955,21.1499
16320,-0.031949,0.835996,0.785942,21.1499
16380,-0.031949,0.835463,0.800319,21.1499
16440,-0.031949,0.834931,0.809372,21.0693
16500,-0.031949,0.834398,0.815761,21.1499
16560,-0.032481,0.833866,0.816826,21.0693
16620,-0.031949,0.833866,0.817891,21.1499
16680,-0.033014,0.834398,0.818424,21.1499
16740,-0.033014,0.833866,0.818956,21.1499
16800,-0.032481,0.833866,0.818424,21.1499
16860,-0.033014,0.833866,0.818424,21.0693
16920,-0.033014,0.832801,0.817359,21.1499
16980,-0.033014,0.832801,0.817359,21.1499
17040,-0.034079,0.832268,0.817359,21.0693
17100,-0.034079,0.831736,0.817359,21.0693
17160,-0.034079,0.831203,0.817891,21.0693
17220,-0.034611,0.830671,0.817359,21.0693
17280,-0.035144,0.830138,0.821619,20.9888
17340,-0.035144,0.830138,0.825346,21.0693
17400,-0.035144,0.829073,0.824281,20.9888
17460,-0.035144,0.828541,0.830138,21.0693
17520,-0.035676,0.828541,0.827476,20.9888
17580,-0.035676,0.828008,0.825878,21.0693
17640,-0.036209,0.841320,0.824813,20.9888
17700,-0.037806,0.832801,0.822684,20.9888
17760,-0.039403,0.830671,0.822684,20.9888
17820,-0.042598,0.827476,0.822151,20.9888
17880,-0.038338,0.828008,0.821086,21.0693
17940,-0.045793,0.826411,0.820021,20.9888
18000,-0.039403,0.825878,0.795527,20.9888
18060,-0.039936,0.825346,0.794995,20.9888
18120,-0.039936,0.824813,0.793930,20.9888
18180,-0.041001,0.824813,0.809904,20.9082
18240,-0.042066,0.824281,0.815761,20.9888
18300,-0.043131,0.824281,0.816294,20.9888
18360,-0.042598,0.824281,0.817891,20.9082
18420,-0.045261,0.824281,0.819489,20.9888
18480,-0.078807,0.823749,0.820021,20.9888
18540,-0.042066,0.823749,0.818424,20.9888
18600,-0.047391,0.823749,0.816826,20.9082
18660,-0.051651,0.823216,0.818956,20.9888
18720,-0.052715,0.823216,0.814696,20.9082
18780,-0.055910,0.825878,0.818424,20.9888
18840,-0.056443,0.822684,0.820554,20.9082
18900,-0.057508,0.822151,0.820554,20.9082
18960,-0.058040,0.822151,0.821086,20.9888
