***SENSOR SELECTION
CH 1-Voltage(±1V)
CH 2-Voltage(±1V)
CH 3-Voltage(±1V)
*** Sampling Rate 
1 Data Per 1 Min
*** Duration to Monitor  
1 Day
Start: 12-DEC-2022  02:52PM
Time(s),V,V,V
14760,0.060703,0.783812,0.812034
14820,0.060703,0.781682,0.811501
14880,0.060170,0.780085,0.810436
14940,0.060170,0.778488,0.809904
15000,0.059638,0.776890,0.809372
15060,0.059638,0.775825,0.808839
15120,0.059105,0.774228,0.808307
15180,0.058573,0.773163,0.808307
15240,0.058573,0.772630,0.807774
15300,0.058040,0.771565,0.807242
15360,0.058040,0.771033,0.806177
15420,0.057508,0.770500,0.805644
15480,0.056975,0.769968,0.805112
15540,0.056975,0.768903,0.804579
15600,0.056975,0.767838,0.803514
15660,0.056443,0.766773,0.802449
15720,0.055910,0.765176,0.801384
15780,0.055910,0.764111,0.800319
15840,0.055378,0.763046,0.798722
15900,0.055378,0.761981,0.797124
15960,0.054845,0.760916,0.796059
16020,0.054845,0.759851,0.794462
16080,0.054313,0.759318,0.793397
16140,0.054313,0.758253,0.792332
16200,0.053780,0.758253,0.791800
16260,0.053780,0.757721,0.790735
16320,0.053248,0.756656,0.790735
16380,0.053248,0.756123,0.789670
16440,0.052715,0.755591,0.789137
16500,0.052183,0.755058,0.788605
16560,0.051118,0.754526,0.788605
16620,0.051118,0.753993,0.787540
16680,0.050586,0.752928,0.787540
16740,0.050053,0.751331,0.786475
16800,0.050053,0.750266,0.785942
16860,0.049521,0.749201,0.784877
16920,0.049521,0.748136,0.784877
16980,0.048988,0.747604,0.784345
17040,0.048456,0.746539,0.783812
17100,0.048456,0.746006,0.783812
17160,0.047923,0.745474,0.783280
17220,0.047923,0.744941,0.783280
17280,0.047391,0.743876,0.782747
17340,0.046858,0.743344,0.782747
17400,0.046326,0.742811,0.782747
17460,0.045793,0.741746,0.782215
17520,0.045793,0.741214,0.782215
17580,0.045261,0.741214,0.781682
17640,0.044728,0.740681,0.781682
17700,0.044728,0.740681,0.781682
17760,0.044728,0.740149,0.781150
17820,0.044196,0.739616,0.780085
17880,0.044196,0.739084,0.778488
17940,0.044196,0.738551,0.776358
18000,0.044196,0.737487,0.774228
18060,0.044196,0.736954,0.772630
18120,0.044196,0.735889,0.771033
18180,0.043663,0.735357,0.769968
18240,0.043131,0.734824,0.768370
18300,0.043131,0.734824,0.767305
18360,0.042598,0.734292,0.766241
18420,0.042598,0.734292,0.765176
18480,0.042598,0.733227,0.764643
18540,0.042066,0.732162,0.763578
18600,0.041533,0.731097,0.763046
18660,0.041001,0.730032,0.762513
18720,0.041001,0.728967,0.761448
18780,0.040468,0.728434,0.760916
18840,0.040468,0.727369,0.760383
18900,0.039936,0.726304,0.759851
18960,0.039403,0.725772,0.759318
19020,0.039403,0.724707,0.758786
19080,0.039403,0.724174,0.758253
19140,0.038871,0.723642,0.757721
19200,0.038871,0.723110,0.757188
19260,0.038871,0.722577,0.757188
19320,0.038338,0.722045,0.756656
19380,0.038338,0.722045,0.756656
19440,0.038338,0.721512,0.756656
19500,0.038338,0.721512,0.756656
19560,0.037806,0.721512,0.756123
19620,0.037806,0.721512,0.756123
19680,0.037806,0.720447,0.756656
19740,0.037806,0.720447,0.756656
19800,0.037273,0.720980,0.756656
19860,0.037273,0.720980,0.756656
19920,0.037273,0.721512,0.756123
19980,0.037273,0.721512,0.755591
20040,0.037273,0.721512,0.755058
20100,0.037273,0.721512,0.754526
20160,0.037273,0.720980,0.753993
20220,0.037273,0.720980,0.753993
20280,0.036741,0.720447,0.753993
20340,0.036741,0.720447,0.753993
20400,0.036741,0.719382,0.753993
20460,0.036741,0.718850,0.753461
20520,0.036741,0.717785,0.753461
20580,0.036209,0.716720,0.752928
20640,0.036209,0.715655,0.752928
20700,0.035676,0.715122,0.752928
20760,0.035676,0.714590,0.752396
20820,0.035676,0.714057,0.751864
20880,0.035144,0.713525,0.751331
20940,0.035144,0.712992,0.751331
21000,0.035144,0.712460,0.750799
21060,0.035144,0.711927,0.750799
21120,0.034611,0.711927,0.750266
21180,0.034611,0.711927,0.749734
21240,0.034611,0.711395,0.748669
21300,0.034079,0.711395,0.747604
21360,0.034079,0.711395,0.746539
21420,0.034079,0.710862,0.744941
21480,0.034079,0.710862,0.743876
21540,0.034079,0.710330,0.742811
21600,0.033546,0.710330,0.742279
21660,0.033546,0.710330,0.741214
21720,0.033546,0.710330,0.740681
21780,0.033546,0.710330,0.740149
21840,0.033546,0.710330,0.739616
21900,0.033546,0.710330,0.739084
21960,0.033014,0.710330,0.738019
22020,0.033014,0.710330,0.738019
22080,0.033014,0.710330,0.737487
22140,0.033014,0.710330,0.736954
22200,0.033014,0.710330,0.736422
22260,0.033014,0.710330,0.735889
22320,0.032481,0.710330,0.735357
22380,0.032481,0.710862,0.734824
22440,0.032481,0.710862,0.734292
22500,0.032481,0.710862,0.734292
22560,0.032481,0.710862,0.733759
22620,0.031949,0.710330,0.733227
22680,0.031949,0.709265,0.732694
22740,0.031949,0.708733,0.732694
22800,0.031949,0.707668,0.732162
22860,0.031949,0.707668,0.731629
22920,0.031949,0.707135,0.731097
22980,0.031949,0.706603,0.730564
23040,0.031416,0.706070,0.730564
23100,0.031416,0.705005,0.730032
23160,0.031416,0.704473,0.729499
23220,0.031416,0.703940,0.729499
23280,0.031416,0.703408,0.728967
23340,0.031416,0.703408,0.728434
23400,0.030884,0.702875,0.728434
23460,0.030884,0.702343,0.727902
23520,0.030884,0.701810,0.727369
23580,0.030884,0.701278,0.727369
23640,0.030884,0.700745,0.726837
23700,0.030884,0.700745,0.726304
23760,0.030351,0.700213,0.726304
23820,0.030351,0.699680,0.725772
23880,0.030351,0.699148,0.725772
23940,0.030351,0.698615,0.725239
